site,species,n_years,french_name
10947,SYLATR,7,Fauvette à tête noire
10947,TROTRO,7,Troglodyte mignon
10947,TURMER,7,Merle noir
10947,TURPHI,7,Grive musicienne
10952,ALAARV,17,Alouette des champs
10952,ANTTRI,17,Pipit des arbres
10952,APUAPU,17,Martinet noir
10952,CERBRA,17,Grimpereau des jardins
10952,COLPAL,17,Pigeon ramier
10952,CORCOR,17,Corneille noire
10952,CUCCAN,17,Coucou gris
10952,DENMAJ,17,Pic épeiche
10952,DRYMAR,17,Pic noir
10952,EMBCIT,17,Bruant jaune
10952,ERIRUB,17,Rougegorge familier
10952,FALTIN,17,Faucon crécerelle
10952,FRICOE,17,Pinson des arbres
10952,GALCHL,17,Gallinule poule-d'eau
10952,GARGLA,17,Geai des chênes
10952,HIRRUS,17,Hirondelle rustique
10952,LULARB,17,Alouette lulu
10952,LUSMEG,17,Rossignol philomèle
10952,PARCAE,17,Mésange bleue
10952,PARCRI,17,Mésange huppée
10952,PARMAJ,17,Mésange charbonnière
10952,PASDOM,17,Moineau domestique
10952,PHOOCH,17,Rougequeue noir
10952,PHYCOL,17,Pouillot véloce
10952,PICVIR,17,Pic vert
10952,PRUMOD,17,Accenteur mouchet
10952,SITEUR,17,Sittelle torchepot
10952,STRDEC,17,Tourterelle turque
10952,STRTUR,17,Tourterelle des bois
10952,STUVUL,17,Étourneau sansonnet
10952,SYLATR,17,Fauvette à tête noire
10952,TROTRO,17,Troglodyte mignon
10952,TURMER,17,Merle noir
10952,TURPHI,17,Grive musicienne
10952,TURVIS,17,Grive draine
10957,ANTTRI,4,Pipit des arbres
10957,APUAPU,4,Martinet noir
10957,CERBRA,4,Grimpereau des jardins
10957,COLPAL,4,Pigeon ramier
10957,CORCOR,4,Corneille noire
10957,CUCCAN,4,Coucou gris
10957,DENMAJ,4,Pic épeiche
10957,DRYMAR,4,Pic noir
10957,EMBCIT,4,Bruant jaune
10957,ERIRUB,4,Rougegorge familier
10957,FRICOE,4,Pinson des arbres
10957,GARGLA,4,Geai des chênes
10957,HIRRUS,4,Hirondelle rustique
10957,LUSMEG,4,Rossignol philomèle
10957,PARCAE,4,Mésange bleue
10957,PARMAJ,4,Mésange charbonnière
10957,PASDOM,4,Moineau domestique
10957,PHOOCH,4,Rougequeue noir
10957,PHYCOL,4,Pouillot véloce
10957,PICVIR,4,Pic vert
10957,PRUMOD,4,Accenteur mouchet
10957,SITEUR,4,Sittelle torchepot
10957,STRDEC,4,Tourterelle turque
10957,SYLATR,4,Fauvette à tête noire
10957,TROTRO,4,Troglodyte mignon
10957,TURMER,4,Merle noir
10957,TURPHI,4,Grive musicienne
10999,APUAPU,2,Martinet noir
10999,CERBRA,2,Grimpereau des jardins
10999,COLPAL,2,Pigeon ramier
10999,CORCOR,2,Corneille noire
10999,CUCCAN,2,Coucou gris
10999,DENMAJ,2,Pic épeiche
10999,DRYMAR,2,Pic noir
10999,ERIRUB,2,Rougegorge familier
10999,FRICOE,2,Pinson des arbres
